Time,X,Y,Z
160.3,0,23.59666809,4.097061863
160.4,0,23.48160988,4.055978305
160.5,0,23.36648015,4.015095624
160.6,0,23.25127923,3.974413944
160.7,0,23.13600749,3.933933389
160.8,0,23.02066527,3.893654083
160.9,0,22.90525293,3.853576149
161,0,22.78977081,3.813699708
161.1,0,22.67421927,3.774024882
161.2,0,22.55859867,3.734551792
161.3,0,22.44290934,3.695280558
161.4,0,22.32715165,3.656211299
161.5,0,22.21132595,3.617344136
161.6,0,22.09543259,3.578679185
161.7,0,21.97947192,3.540216565
161.8,0,21.8634443,3.501956393
161.9,0,21.74735007,3.463898786
162,0,21.63118961,3.426043859
162.1,0,21.51496325,3.388391728
162.2,0,21.39867135,3.350942508
162.3,0,21.28231426,3.313696312
162.4,0,21.16589235,3.276653254
162.5,0,21.04940597,3.239813448
162.6,0,20.93285546,3.203177004
162.7,0,20.81624119,3.166744035
162.8,0,20.6995635,3.130514651
162.9,0,20.58282277,3.094488964
163,0,20.46601933,3.058667083
163.1,0,20.34915355,3.023049116
163.2,0,20.23222579,2.987635173
163.3,0,20.11523639,2.952425361
163.4,0,19.99818572,2.917419787
163.5,0,19.88107413,2.882618559
163.6,0,19.76390198,2.848021782
163.7,0,19.64666962,2.813629562
163.8,0,19.52937742,2.779442003
163.9,0,19.41202573,2.745459209
164,0,19.29461491,2.711681284
164.1,0,19.17714531,2.678108332
164.2,0,19.05961729,2.644740453
164.3,0,18.94203122,2.61157775
164.4,0,18.82438744,2.578620324
164.5,0,18.70668633,2.545868275
164.6,0,18.58892822,2.513321704
164.7,0,18.4711135,2.480980708
164.8,0,18.3532425,2.448845387
164.9,0,18.2353156,2.416915838
165,0,18.11733316,2.38519216
165.1,0,17.99929552,2.353674448
165.2,0,17.88120306,2.322362798
165.3,0,17.76305612,2.291257306
165.4,0,17.64485508,2.260358066
165.5,0,17.52660028,2.229665174
165.6,0,17.4082921,2.199178721
165.7,0,17.28993089,2.168898802
165.8,0,17.17151701,2.138825507
165.9,0,17.05305083,2.10895893
166,0,16.93453269,2.079299161
166.1,0,16.81596297,2.04984629
166.2,0,16.69734203,2.020600406
166.3,0,16.57867022,1.9915616
166.4,0,16.45994792,1.96272996
166.5,0,16.34117547,1.934105572
166.6,0,16.22235324,1.905688525
166.7,0,16.1034816,1.877478906
